학년,카테고리,질문,메인버블,서브버블,CTA버블,어태치먼트확인용
HIGH_C-4,料金・制度,複数科目の受講は割引がありますか？,はい！複数科目の受講で1科目あたりの料金がお得になります。,『苦手はじっくり』『得意は先取り』など、教科を組み合わせて学べるのが3.14の魅力です✨▶️ 料金プランはこちら(image),-詳しい内容は体験や資料請求でご案内しておりますので、ぜひお気軽にご相談ください！,"[{""type"":""main"",""text"":""はい！複数科目の受講で1科目あたりの料金がお得になります。"",""attachment"":null},{""type"":""sub"",""text"":""『苦手はじっくり』『得意は先取り』など、教科を組み合わせて学べるのが3.14の魅力です✨\n\n▶️ 料金プランはこちら\n(image)"",""attachment"":{""type"":""image"",""url"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/b6f8eddd-4468-4d7a-8919-ed87fbc2e59e.png"",""title"":"""",""description"":"""",""thumbnail"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/b6f8eddd-4468-4d7a-8919-ed87fbc2e59e.png""}},{""type"":""cta"",""text"":""-\n詳しい内容は体験や資料請求でご案内しておりますので、ぜひお気軽にご相談ください！"",""attachment"":null}]"
HIGH_C-5,料金・制度,模試や外部試験の費用は含まれますか？,模試や外部試験などは、コースに応じて別途ご案内する場合があります。,ただし、担任が一人ひとりに必要なものだけをご提案いたしますのでご安心ください❣️,結果は丁寧にフィードバックし、次の学習計画に活かします！,"[{""type"":""main"",""text"":""模試や外部試験などは、コースに応じて別途ご案内する場合があります。"",""attachment"":null},{""type"":""sub"",""text"":""ただし、担任が一人ひとりに必要なものだけをご提案いたしますのでご安心ください❣️"",""attachment"":null},{""type"":""cta"",""text"":""結果は丁寧にフィードバックし、次の学習計画に活かします！"",""attachment"":null}]"
MIDDLE_A-1,授業・カリキュラム,定期テスト対策はしてもらえますか？,はい、もちろんです！3.14コミュニティでは、学校ごとの試験範囲や出題傾向に合わせた定期テスト対策を行っています✏️,追加の授業が必要になっても、定額制だから安心してしっかり取り組めます✨,無料体験でもテスト対策の雰囲気をご体験いただけますよ！,"[{""type"":""main"",""text"":""はい、もちろんです！3.14コミュニティでは、学校ごとの試験範囲や出題傾向に合わせた定期テスト対策を行っています✏️"",""attachment"":null},{""type"":""sub"",""text"":""追加の授業が必要になっても、定額制だから安心してしっかり取り組めます✨"",""attachment"":null},{""type"":""cta"",""text"":""無料体験でもテスト対策の雰囲気をご体験いただけますよ！"",""attachment"":null}]"
MIDDLE_A-2,授業・カリキュラム,学校の教科書に合わせた授業ですか？,はい、通っている学校の教科書や進度に合わせて、授業内容をカスタマイズしています📚,定期テスト対策はもちろん、次学年の先取りなど様々なニーズにお答えできます！(image),実際の授業内容は見学や資料請求でご確認ください！,"[{""type"":""main"",""text"":""はい、通っている学校の教科書や進度に合わせて、授業内容をカスタマイズしています📚"",""attachment"":null},{""type"":""sub"",""text"":""定期テスト対策はもちろん、次学年の先取りなど様々なニーズにお答えできます！\n\n(image)"",""attachment"":{""type"":""image"",""url"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/5d8c1588-904b-4a35-91a7-294a1374cb4b.png"",""title"":"""",""description"":"""",""thumbnail"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/5d8c1588-904b-4a35-91a7-294a1374cb4b.png""}},{""type"":""cta"",""text"":""実際の授業内容は見学や資料請求でご確認ください！"",""attachment"":null}]"
MIDDLE_A-3,授業・カリキュラム,苦手な教科を集中的に見てもらえますか？,もちろん可能です！AIで理解度を分析し、苦手単元を特定した上で、ピンポイントで対策していきます🧠,理解のズレを解消し、自信につなげていくサポートを全力で行います✨(image),詳しく知りたい方は、ぜひ一度ご相談か体験授業をご利用ください！,"[{""type"":""main"",""text"":""もちろん可能です！AIで理解度を分析し、苦手単元を特定した上で、ピンポイントで対策していきます🧠"",""attachment"":null},{""type"":""sub"",""text"":""理解のズレを解消し、自信につなげていくサポートを全力で行います✨\n\n(image)"",""attachment"":{""type"":""image"",""url"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/5d8c1588-904b-4a35-91a7-294a1374cb4b.png"",""title"":"""",""description"":"""",""thumbnail"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/5d8c1588-904b-4a35-91a7-294a1374cb4b.png""}},{""type"":""cta"",""text"":""詳しく知りたい方は、ぜひ一度ご相談か体験授業をご利用ください！"",""attachment"":null}]"
MIDDLE_A-4,授業・カリキュラム,宿題や課題のフォローはありますか？,はい、担任が日々の学習状況を見守っているので、宿題の進み具合や理解度もばっちり把握しています🧑‍🏫,わからないところはすぐ質問OK！自習スペースでもサポートを受けられます✨,ご不安な方は、まず無料体験や教室見学がおすすめです😊,"[{""type"":""main"",""text"":""はい、担任が日々の学習状況を見守っているので、宿題の進み具合や理解度もばっちり把握しています🧑‍🏫"",""attachment"":null},{""type"":""sub"",""text"":""わからないところはすぐ質問OK！自習スペースでもサポートを受けられます✨"",""attachment"":null},{""type"":""cta"",""text"":""ご不安な方は、まず無料体験や教室見学がおすすめです😊"",""attachment"":null}]"
MIDDLE_A-5,授業・カリキュラム,高校受験対策はいつから始めるべきですか？,できるだけ早い時期からの準備がおすすめです！3.14では中1・中2の基礎づくりが、入試本番の得点力に直結しています📈,中3からは本格的に過去問演習や模試対策など『入試対策ゼミ』で徹底対策をしましょう。(image),まずは資料請求や体験授業で、スタートのタイミングをご相談ください！,"[{""type"":""main"",""text"":""できるだけ早い時期からの準備がおすすめです！3.14では中1・中2の基礎づくりが、入試本番の得点力に直結しています📈"",""attachment"":null},{""type"":""sub"",""text"":""中3からは本格的に過去問演習や模試対策など『入試対策ゼミ』で徹底対策をしましょう。\n\n(image)"",""attachment"":{""type"":""image"",""url"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/4e4b4f60-54ec-4842-89f0-eaa8d8dac370.png"",""title"":"""",""description"":"""",""thumbnail"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/4e4b4f60-54ec-4842-89f0-eaa8d8dac370.png""}},{""type"":""cta"",""text"":""まずは資料請求や体験授業で、スタートのタイミングをご相談ください！"",""attachment"":null}]"
MIDDLE_B-1,通塾・学習時間,部活と両立できますか？,はい、もちろんです！3.14コミュニティでは、部活や習い事と両立しやすい時間帯で授業を受けられます。,授業のない日でも自習スペースで学習できるので、スキマ時間の活用にも最適です📖▶️ 時間割の例はこちら(image),ご希望の通塾スケジュールなど、ぜひお気軽にご相談ください！,"[{""type"":""main"",""text"":""はい、もちろんです！3.14コミュニティでは、部活や習い事と両立しやすい時間帯で授業を受けられます。"",""attachment"":null},{""type"":""sub"",""text"":""授業のない日でも自習スペースで学習できるので、スキマ時間の活用にも最適です📖\n\n▶️ 時間割の例はこちら\n(image)"",""attachment"":null},{""type"":""cta"",""text"":""ご希望の通塾スケジュールなど、ぜひお気軽にご相談ください！"",""attachment"":null}]"
MIDDLE_B-2,通塾・学習時間,自習室はいつでも使えますか？,はい、開校時間内であればいつでも自習室をご利用いただけます！,授業のない日でも先生が近くにいて、質問や学習サポートを受けられる環境です🧑‍🏫,実際の自習室の雰囲気は、見学や体験でご確認いただけます😊,"[{""type"":""main"",""text"":""はい、開校時間内であればいつでも自習室をご利用いただけます！"",""attachment"":null},{""type"":""sub"",""text"":""授業のない日でも先生が近くにいて、質問や学習サポートを受けられる環境です🧑‍🏫"",""attachment"":{""type"":""image"",""url"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/330edda5-9efe-4e2a-8aef-68ffd5a28934.png"",""title"":"""",""description"":"""",""thumbnail"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/330edda5-9efe-4e2a-8aef-68ffd5a28934.png""}},{""type"":""cta"",""text"":""実際の自習室の雰囲気は、見学や体験でご確認いただけます😊"",""attachment"":null}]"
MIDDLE_B-3,通塾・学習時間,通塾の時間帯は選べますか？,はい、通塾の曜日・時間帯はご都合に合わせて自由に設定できます。,担任が部活やご家庭のスケジュールをヒアリングして、無理のない学習計画をご提案します🗓️▶️ 時間割の例はこちら(image),ご希望の時間帯をお気軽にご相談ください！,"[{""type"":""main"",""text"":""はい、通塾の曜日・時間帯はご都合に合わせて自由に設定できます。"",""attachment"":null},{""type"":""sub"",""text"":""担任が部活やご家庭のスケジュールをヒアリングして、無理のない学習計画をご提案します🗓️\n\n▶️ 時間割の例はこちら\n(image)"",""attachment"":{""type"":""image"",""url"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/330edda5-9efe-4e2a-8aef-68ffd5a28934.png"",""title"":"""",""description"":"""",""thumbnail"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/330edda5-9efe-4e2a-8aef-68ffd5a28934.png""}},{""type"":""cta"",""text"":""ご希望の時間帯をお気軽にご相談ください！"",""attachment"":null}]"
MIDDLE_B-4,通塾・学習時間,授業の振替はできますか？,はい、もちろんです👌体調不良や予定変更の際もご安心ください！,担任にご連絡いただければ、振替授業や自習サポートでフォローいたします❣️,柔軟な対応が可能なので、気になる方は体験時にご相談ください。,"[{""type"":""main"",""text"":""はい、もちろんです👌体調不良や予定変更の際もご安心ください！"",""attachment"":null},{""type"":""sub"",""text"":""担任にご連絡いただければ、振替授業や自習サポートでフォローいたします❣️"",""attachment"":null},{""type"":""cta"",""text"":""柔軟な対応が可能なので、気になる方は体験時にご相談ください。"",""attachment"":null}]"
MIDDLE_B-5,通塾・学習時間,夏期・冬期講習はどのくらいの期間ありますか？,講習会は夏・冬・春に実施しており、各シーズン2週間前後のスケジュールが目安です。,内容や日程は個別にカスタマイズできるので、帰省や部活との両立も可能です✨,講習内容の詳細は、パンフレットや体験時にご案内しております！,"[{""type"":""main"",""text"":""講習会は夏・冬・春に実施しており、各シーズン2週間前後のスケジュールが目安です。"",""attachment"":null},{""type"":""sub"",""text"":""内容や日程は個別にカスタマイズできるので、帰省や部活との両立も可能です✨"",""attachment"":null},{""type"":""cta"",""text"":""講習内容の詳細は、パンフレットや体験時にご案内しております！"",""attachment"":null}]"
MIDDLE_C-1,料金・制度,授業料はいくらですか？学年や科目で変わりますか？,3.14コミュニティでは、授業受け放題の【定額制】を導入しています🧑‍🏫,必要な授業やサポートを自由に受けられるのが特長です！▶️ 料金プランはこちら(image),料金詳細は教室でのご案内か、資料請求をご活用ください！,"[{""type"":""main"",""text"":""3.14コミュニティでは、授業受け放題の【定額制】を導入しています🧑‍🏫"",""attachment"":null},{""type"":""sub"",""text"":""必要な授業やサポートを自由に受けられるのが特長です！\n\n▶️ 料金プランはこちら\n(image)"",""attachment"":{""type"":""image"",""url"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/00eb2c7a-da26-441f-b631-bd69d0696c6b.png"",""title"":"""",""description"":"""",""thumbnail"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/00eb2c7a-da26-441f-b631-bd69d0696c6b.png""}},{""type"":""cta"",""text"":""料金詳細は教室でのご案内か、資料請求をご活用ください！"",""attachment"":null}]"
MIDDLE_C-2,料金・制度,教材費は別途かかりますか？,はい、教材費は別途ご案内しておりますが、必要な分のみをご提案しております。,お子様専用のカリキュラムに応じて、最適な教材を選定いたします📚,無理なく学べるように配慮していますのでご安心ください！,"[{""type"":""main"",""text"":""はい、教材費は別途ご案内しておりますが、必要な分のみをご提案しております。"",""attachment"":null},{""type"":""sub"",""text"":""お子様専用のカリキュラムに応じて、最適な教材を選定いたします📚"",""attachment"":null},{""type"":""cta"",""text"":""無理なく学べるように配慮していますのでご安心ください！"",""attachment"":null}]"
MIDDLE_C-3,料金・制度,無料体験はできますか？,はい！3.14コミュニティでは、体験授業や教室見学を随時受け付けております。,,実際の雰囲気や授業スタイルを体感してから入塾をご検討ください🙇‍♂,"[{""type"":""main"",""text"":""はい！3.14コミュニティでは、体験授業や教室見学を随時受け付けております。"",""attachment"":null},{""type"":""cta"",""text"":""実際の雰囲気や授業スタイルを体感してから入塾をご検討ください🙇‍♂"",""attachment"":null}]"
MIDDLE_C-4,料金・制度,複数科目の受講は割引がありますか？,はい！複数科目の受講で1科目あたりの料金がお得になります。,『苦手はじっくり』『得意は先取り』など、教科を組み合わせて学べるのが3.14の魅力です✨▶️ 料金プランはこちら(image),-詳しい内容は体験や資料請求でご案内しておりますので、ぜひお気軽にご相談ください！,"[{""type"":""main"",""text"":""はい！複数科目の受講で1科目あたりの料金がお得になります。"",""attachment"":null},{""type"":""sub"",""text"":""『苦手はじっくり』『得意は先取り』など、教科を組み合わせて学べるのが3.14の魅力です✨\n\n▶️ 料金プランはこちら\n(image)"",""attachment"":{""type"":""image"",""url"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/00eb2c7a-da26-441f-b631-bd69d0696c6b.png"",""title"":"""",""description"":"""",""thumbnail"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/00eb2c7a-da26-441f-b631-bd69d0696c6b.png""}},{""type"":""cta"",""text"":""-\n詳しい内容は体験や資料請求でご案内しておりますので、ぜひお気軽にご相談ください！"",""attachment"":null}]"
MIDDLE_C-5,料金・制度,模試や外部試験の費用は含まれますか？,模試や外部試験などは、コースに応じて別途ご案内する場合があります。,ただし、担任が一人ひとりに必要なものだけをご提案いたしますのでご安心ください❣️,結果は丁寧にフィードバックし、次の学習計画に活かします！,"[{""type"":""main"",""text"":""模試や外部試験などは、コースに応じて別途ご案内する場合があります。"",""attachment"":null},{""type"":""sub"",""text"":""ただし、担任が一人ひとりに必要なものだけをご提案いたしますのでご安心ください❣️"",""attachment"":null},{""type"":""cta"",""text"":""結果は丁寧にフィードバックし、次の学習計画に活かします！"",""attachment"":null}]"
ELEMENTARY_A-1,授業・カリキュラム,小学校の授業に合わせた指導ですか？,はい、3.14コミュニティでは、学校ごとの教科書や授業進度に合わせて丁寧にサポートしています🧑‍🏫,つまずきやすい単元も、個別に立ち止まってしっかり理解を深められます。,詳しい指導内容は体験授業や資料請求でご覧いただけます📘,"[{""type"":""main"",""text"":""はい、3.14コミュニティでは、学校ごとの教科書や授業進度に合わせて丁寧にサポートしています🧑‍🏫"",""attachment"":null},{""type"":""sub"",""text"":""つまずきやすい単元も、個別に立ち止まってしっかり理解を深められます。"",""attachment"":null},{""type"":""cta"",""text"":""詳しい指導内容は体験授業や資料請求でご覧いただけます📘"",""attachment"":null}]"
ELEMENTARY_A-2,授業・カリキュラム,中学受験コースはありますか？,はい、希望される方には中学受験に向けた個別対応が可能です！,志望校のレベルや出題傾向に合わせて、カリキュラムを柔軟にカスタマイズいたします✨,まずはご希望の受験校や開始時期について、お気軽にご相談ください😊,"[{""type"":""main"",""text"":""はい、希望される方には中学受験に向けた個別対応が可能です！"",""attachment"":null},{""type"":""sub"",""text"":""志望校のレベルや出題傾向に合わせて、カリキュラムを柔軟にカスタマイズいたします✨"",""attachment"":{""type"":""image"",""url"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/26a26c4b-212f-4c63-a4bb-225b7c91be81.png"",""title"":"""",""description"":"""",""thumbnail"":""https://meeta-ai-navi.s3.ap-northeast-1.amazonaws.com/image/original/26a26c4b-212f-4c63-a4bb-225b7c91be81.png""}},{""type"":""cta"",""text"":""まずはご希望の受験校や開始時期について、お気軽にご相談ください😊"",""attachment"":null}]"
ELEMENTARY_A-3,授業・カリキュラム,低学年でも集中して取り組めますか？,はい、ご安心ください！一人ひとりの集中力や理解度に合わせて、無理のないスモールステップで学習を進めていきます。,講師が近くで見守り、声かけしながら進めるので、自然と学ぶ姿勢が身につきます🧑‍🏫,体験授業で実際の様子をご確認いただけますよ！,"[{""type"":""main"",""text"":""はい、ご安心ください！一人ひとりの集中力や理解度に合わせて、無理のないスモールステップで学習を進めていきます。"",""attachment"":null},{""type"":""sub"",""text"":""講師が近くで見守り、声かけしながら進めるので、自然と学ぶ姿勢が身につきます🧑‍🏫"",""attachment"":null},{""type"":""cta"",""text"":""体験授業で実際の様子をご確認いただけますよ！"",""attachment"":null}]"
ELEMENTARY_A-4,授業・カリキュラム,漢字・計算など基礎から見てもらえますか？,もちろんです！学年の枠にとらわれず、お子さま一人ひとりの習熟度に合わせて基礎から丁寧に指導します。,『わかった！できた！』の成功体験を積み重ねることで、学ぶ楽しさが育ちます✨,詳しい内容は、教室での体験や面談でご確認いただけます📒,"[{""type"":""main"",""text"":""もちろんです！学年の枠にとらわれず、お子さま一人ひとりの習熟度に合わせて基礎から丁寧に指導します。"",""attachment"":null},{""type"":""sub"",""text"":""『わかった！できた！』の成功体験を積み重ねることで、学ぶ楽しさが育ちます✨"",""attachment"":null},{""type"":""cta"",""text"":""詳しい内容は、教室での体験や面談でご確認いただけます📒"",""attachment"":null}]"
ELEMENTARY_A-5,授業・カリキュラム,宿題はありますか？,はい、お子さまに応じて無理のない範囲で宿題を出しています📃,家庭学習の習慣づけや、授業で学んだ内容の定着を目的としています。,どんな宿題が出るか気になる方は、体験時にぜひチェックしてみてください😀,"[{""type"":""main"",""text"":""はい、お子さまに応じて無理のない範囲で宿題を出しています📃"",""attachment"":null},{""type"":""sub"",""text"":""家庭学習の習慣づけや、授業で学んだ内容の定着を目的としています。"",""attachment"":null},{""type"":""cta"",""text"":""どんな宿題が出るか気になる方は、体験時にぜひチェックしてみてください😀"",""attachment"":null}]"
